               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
2023-01-25 15:27:36 |     1 |     1.000e-03 |  8802.1805 |       2616.7870 |   328.4755 |         15.8288 |            7424
2023-01-25 15:27:59 |     2 |     1.000e-03 |  1696.7434 |        956.6192 |   136.2258 |         12.9941 |            7424
2023-01-25 15:28:21 |     3 |     1.000e-03 |   815.6034 |        517.8318 |    76.3484 |         10.9229 |            7424
2023-01-25 15:28:43 |     4 |     1.000e-03 |   532.1401 |        365.1387 |    54.4980 |          9.5702 |            7424
2023-01-25 15:29:06 |     5 |     1.000e-03 |   427.3907 |        320.7866 |    51.1529 |          8.9856 |            7424
2023-01-25 15:29:29 |     6 |     1.000e-03 |   953.2150 |       1302.3860 |   145.4007 |         17.4813 |            7424
2023-01-25 15:29:51 |     7 |     1.000e-03 |   687.0591 |        407.1761 |    90.6722 |          9.6076 |            7424
2023-01-25 15:30:13 |     8 |     1.000e-03 |   382.4577 |        318.9278 |    66.3305 |          9.0210 |            7424
2023-01-25 15:30:36 |     9 |     1.000e-03 |   313.7786 |        239.6468 |    42.9680 |          8.0034 |            7424
2023-01-25 15:30:58 |    10 |     1.000e-03 |   243.4030 |        243.8251 |    50.9745 |          8.1074 |            7424
2023-01-25 15:31:20 |    11 |     1.000e-03 |   318.2097 |        265.3551 |    48.5343 |          8.2681 |            7424
2023-01-25 15:31:43 |    12 |     1.000e-03 |   488.7475 |        367.9283 |    51.4597 |          9.8175 |            7424
2023-01-25 15:32:05 |    13 |     1.000e-03 |   315.6035 |        225.7305 |    43.5078 |          7.7028 |            7424
2023-01-25 15:32:27 |    14 |     1.000e-03 |   243.8831 |        203.4433 |    45.5338 |          7.2492 |            7424
2023-01-25 15:32:50 |    15 |     1.000e-03 |   219.3943 |        187.8111 |    46.7570 |          6.7707 |            7424
2023-01-25 15:33:12 |    16 |     1.000e-03 |   195.4610 |        171.9070 |    41.0676 |          6.5565 |            7424
2023-01-25 15:33:34 |    17 |     1.000e-03 |   168.5651 |        160.4960 |    35.3396 |          6.4887 |            7424
2023-01-25 15:33:57 |    18 |     1.000e-03 |   170.2726 |        180.2745 |    56.1950 |          6.4341 |            7424
2023-01-25 15:34:19 |    19 |     1.000e-03 |   193.4197 |        165.0592 |    44.8950 |          6.2720 |            7424
2023-01-25 15:34:41 |    20 |     1.000e-03 |   143.5011 |        168.5440 |    59.6655 |          6.0229 |            7424
2023-01-25 15:35:04 |    21 |     1.000e-03 |  1033.0449 |        507.2282 |    74.2789 |         10.9447 |            7424
2023-01-25 15:35:26 |    22 |     1.000e-03 |   382.9403 |        226.9876 |    38.1990 |          7.6911 |            7424
2023-01-25 15:35:48 |    23 |     1.000e-03 |   266.7628 |        255.4604 |    55.8855 |          7.6952 |            7424
2023-01-25 15:36:11 |    24 |     1.000e-03 |   204.2215 |        187.2078 |    44.7068 |          6.8484 |            7424
2023-01-25 15:36:33 |    25 |     1.000e-03 |   209.4825 |        173.7625 |    38.9596 |          6.6074 |            7424
2023-01-25 15:36:55 |    26 |     1.000e-03 |   196.4583 |        163.0956 |    30.3398 |          6.5257 |            7424
2023-01-25 15:37:17 |    27 |     1.000e-03 |   191.6367 |        141.1578 |    25.5559 |          6.1571 |            7424
2023-01-25 15:37:40 |    28 |     1.000e-03 |   168.6941 |        131.2346 |    24.0642 |          5.9040 |            7424
2023-01-25 15:38:02 |    29 |     1.000e-03 |   157.1278 |        127.2661 |    24.4009 |          5.7974 |            7424
2023-01-25 15:38:25 |    30 |     1.000e-03 |   162.8284 |        131.5510 |    32.4897 |          5.6993 |            7424
2023-01-25 15:38:47 |    31 |     1.000e-03 |   132.5724 |        124.1769 |    22.4706 |          5.6578 |            7426
2023-01-25 15:39:06 |    32 |     1.000e-03 |   131.4091 |        125.2319 |    31.9033 |          5.6349 |            7426
2023-01-25 15:39:29 |    33 |     1.000e-03 |   114.2578 |        120.9171 |    30.7243 |          5.4496 |            7426
2023-01-25 15:39:51 |    34 |     1.000e-03 |   113.6436 |        117.8312 |    29.7309 |          5.3873 |            7426
2023-01-25 15:40:14 |    35 |     1.000e-03 |   113.6304 |        115.5296 |    26.8549 |          5.3498 |            7426
