               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
2023-01-25 15:36:15 |    54 |     1.000e-03 |  1055.4231 |        335.2005 |    49.7633 |          9.4493 |            7359
2023-01-25 15:36:38 |    55 |     1.000e-03 |   882.4978 |        894.3073 |    83.8705 |         15.3844 |            7359
2023-01-25 15:37:01 |    56 |     1.000e-03 |   476.4694 |        276.5290 |    46.1076 |          8.1593 |            7359
2023-01-25 15:37:24 |    57 |     1.000e-03 |   282.5659 |        200.7302 |    32.9149 |          7.2102 |            7359
2023-01-25 15:37:47 |    58 |     1.000e-03 |   222.5334 |        179.9851 |    34.2264 |          6.7715 |            7359
2023-01-25 15:38:09 |    59 |     1.000e-03 |   186.7023 |        156.8006 |    25.7771 |          6.3278 |            7359
2023-01-25 15:38:32 |    60 |     1.000e-03 |   149.6161 |        144.1659 |    24.7751 |          6.0368 |            7359
2023-01-25 15:38:56 |    61 |     1.000e-03 |   574.4963 |        363.5187 |    52.3101 |          9.6785 |            7359
2023-01-25 15:39:19 |    62 |     1.000e-03 |   287.9425 |        194.5302 |    34.0283 |          7.1375 |            7359
2023-01-25 15:39:41 |    63 |     1.000e-03 |  1473.2534 |       1460.1635 |   162.9357 |         18.1363 |            7359
2023-01-25 15:40:00 |    64 |     1.000e-03 |   734.6881 |        391.1748 |    65.5495 |         10.0185 |            7359
2023-01-25 15:40:23 |    65 |     1.000e-03 |   354.8699 |        246.8900 |    36.0197 |          8.2032 |            7359
2023-01-25 15:40:46 |    66 |     1.000e-03 |   263.1952 |        213.7170 |    35.1011 |          7.5757 |            7359
2023-01-25 15:41:08 |    67 |     1.000e-03 |   259.1556 |        218.7693 |    37.7704 |          7.5622 |            7359
2023-01-25 15:41:31 |    68 |     1.000e-03 |   201.9289 |        195.6586 |    28.2255 |          7.1259 |            7360
2023-01-25 15:41:55 |    69 |     1.000e-03 |   936.3114 |        497.8433 |    77.9734 |         11.4465 |            7360
2023-01-25 15:42:18 |    70 |     1.000e-03 |   437.4359 |        278.5497 |    44.3379 |          8.7632 |            7360
2023-01-25 15:42:41 |    71 |     1.000e-03 |   288.6798 |        211.3258 |    37.9605 |          7.5957 |            7360
2023-01-25 15:43:03 |    72 |     1.000e-03 |   234.0352 |        183.0345 |    31.1763 |          7.0952 |            7360
2023-01-25 15:43:26 |    73 |     1.000e-03 |   202.8583 |        166.5601 |    27.9360 |          6.7688 |            7360
2023-01-25 15:43:49 |    74 |     1.000e-03 |   205.0303 |        169.8498 |    28.5872 |          6.7413 |            7360
2023-01-25 15:44:12 |    75 |     1.000e-03 |   184.2939 |        151.5965 |    25.0800 |          6.4183 |            7360
2023-01-25 15:44:34 |    76 |     1.000e-03 |   145.7574 |        147.4035 |    24.2855 |          6.2249 |            7360
2023-01-25 15:44:57 |    77 |     1.000e-03 |   196.9261 |        171.9975 |    27.6151 |          6.8159 |            7360
2023-01-25 15:45:19 |    78 |     1.000e-03 |   197.0858 |        143.7368 |    24.8481 |          6.1977 |            7360
2023-01-25 15:45:41 |    79 |     1.000e-03 |   168.8707 |        138.1425 |    28.1679 |          6.0015 |            7360
2023-01-25 15:46:04 |    80 |     1.000e-03 |   153.3616 |        134.5839 |    31.6945 |          5.8720 |            7360
2023-01-25 15:46:26 |    81 |     1.000e-03 |   141.3503 |        125.1816 |    23.7013 |          5.7424 |            7360
2023-01-25 15:46:48 |    82 |     1.000e-03 |   132.7346 |        119.7151 |    21.4384 |          5.6212 |            7360
2023-01-25 15:47:10 |    83 |     3.000e-04 |   108.6828 |        112.3599 |    19.8836 |          5.4682 |            7360
2023-01-25 15:47:32 |    84 |     3.000e-04 |   104.3855 |        110.6027 |    19.9472 |          5.4132 |            7360
2023-01-25 15:47:54 |    85 |     3.000e-04 |   102.6969 |        108.6360 |    19.0828 |          5.3662 |            7360
2023-01-25 15:48:17 |    86 |     3.000e-04 |   101.3100 |        107.0743 |    18.6445 |          5.3249 |            7360
2023-01-25 15:48:39 |    87 |     3.000e-04 |    99.7080 |        105.7521 |    18.4093 |          5.2854 |            7360
2023-01-25 15:49:01 |    88 |     3.000e-04 |    98.2196 |        104.3508 |    18.0531 |          5.2454 |            7360
2023-01-25 15:49:23 |    89 |     3.000e-04 |    96.8972 |        103.0428 |    17.7388 |          5.2052 |            7360
2023-01-25 15:49:45 |    90 |     3.000e-04 |    97.2809 |        102.1236 |    17.7446 |          5.1770 |            7360
2023-01-25 15:50:07 |    91 |     3.000e-04 |    96.0511 |        101.6992 |    18.8645 |          5.1455 |            7360
2023-01-25 15:50:29 |    92 |     3.000e-04 |    94.3609 |        100.9889 |    19.5777 |          5.1192 |            7360
2023-01-25 15:50:53 |    93 |     3.000e-04 |    94.1075 |         98.9477 |    17.6797 |          5.0863 |            7360
2023-01-25 15:51:15 |    94 |     3.000e-04 |    90.9932 |         97.5817 |    17.0217 |          5.0522 |            7360
2023-01-25 15:51:37 |    95 |     3.000e-04 |    90.7818 |         96.5006 |    16.7848 |          5.0183 |            7360
2023-01-25 15:51:56 |    96 |     3.000e-04 |    89.8069 |         96.8962 |    18.5782 |          5.0241 |            7361
2023-01-25 15:52:18 |    97 |     3.000e-04 |    91.6011 |         95.3140 |    17.0968 |          4.9609 |            7361
2023-01-25 15:52:40 |    98 |     3.000e-04 |   100.1647 |         96.2655 |    17.3570 |          5.0017 |            7361
2023-01-25 15:53:02 |    99 |     3.000e-04 |    87.0403 |         93.5539 |    17.3189 |          4.9099 |            7361
2023-01-25 15:53:24 |   100 |     3.000e-04 |    86.4896 |         92.6883 |    16.5262 |          4.8877 |            7361
2023-01-25 15:53:46 |   101 |     3.000e-04 |   103.2137 |        100.9760 |    21.9078 |          5.0179 |            7361
2023-01-25 15:54:09 |   102 |     3.000e-04 |   141.3098 |        103.8195 |    23.3360 |          5.1814 |            7361
2023-01-25 15:54:31 |   103 |     3.000e-04 |   115.0498 |         94.1038 |    18.8680 |          4.9566 |            7361
2023-01-25 15:54:53 |   104 |     3.000e-04 |    88.4585 |         91.5308 |    16.1443 |          4.8545 |            7361
2023-01-25 15:55:15 |   105 |     3.000e-04 |    81.7770 |         89.2595 |    16.4817 |          4.7943 |            7361
2023-01-25 15:55:37 |   106 |     3.000e-04 |    80.8872 |         88.8213 |    16.6220 |          4.7511 |            7361
2023-01-25 15:55:59 |   107 |     3.000e-04 |    79.5646 |         87.4667 |    17.1363 |          4.7066 |            7361
2023-01-25 15:56:22 |   108 |     3.000e-04 |    80.8502 |         86.7701 |    16.3739 |          4.6946 |            7361
2023-01-25 15:56:44 |   109 |     3.000e-04 |    76.8981 |         84.8923 |    15.1720 |          4.6565 |            7361
2023-01-25 15:57:06 |   110 |     3.000e-04 |    75.5901 |         83.7345 |    15.1491 |          4.6143 |            7361
2023-01-25 15:57:28 |   111 |     3.000e-04 |    78.0364 |         85.4327 |    19.0952 |          4.5966 |            7361
2023-01-25 15:57:51 |   112 |     3.000e-04 |    92.7234 |         87.9493 |    17.4668 |          4.7070 |            7361
2023-01-25 15:58:13 |   113 |     3.000e-04 |    99.7059 |         83.5477 |    14.7401 |          4.6063 |            7361
2023-01-25 15:58:35 |   114 |     3.000e-04 |    86.9577 |         83.2002 |    16.7811 |          4.5851 |            7361
2023-01-25 15:58:57 |   115 |     3.000e-04 |    74.8267 |         81.6992 |    16.4585 |          4.5025 |            7361
2023-01-25 15:59:19 |   116 |     3.000e-04 |    72.1336 |         80.4129 |    16.2395 |          4.4843 |            7361
2023-01-25 15:59:40 |   117 |     3.000e-04 |    70.6389 |         80.3653 |    17.2349 |          4.4650 |            7361
2023-01-25 16:00:03 |   118 |     3.000e-04 |    72.5998 |         79.1226 |    16.0971 |          4.4389 |            7361
2023-01-25 16:00:25 |   119 |     3.000e-04 |    72.9216 |         78.6291 |    16.3913 |          4.4300 |            7361
2023-01-25 16:00:47 |   120 |     3.000e-04 |    68.2056 |         77.5126 |    15.7132 |          4.4054 |            7361
2023-01-25 16:01:09 |   121 |     3.000e-04 |    67.5811 |         78.4532 |    18.8336 |          4.4130 |            7361
2023-01-25 16:01:31 |   122 |     3.000e-04 |    68.6796 |         76.3086 |    14.7583 |          4.3731 |            7361
2023-01-25 16:01:54 |   123 |     3.000e-04 |    70.7020 |         78.2886 |    20.2650 |          4.3730 |            7361
2023-01-25 16:02:17 |   124 |     3.000e-04 |    70.1324 |         75.2440 |    15.5369 |          4.3086 |            7361
2023-01-25 16:02:39 |   125 |     3.000e-04 |    68.1550 |         74.9527 |    14.6735 |          4.3281 |            7361
2023-01-25 16:03:02 |   126 |     3.000e-04 |    67.1688 |         75.5964 |    18.6399 |          4.2756 |            7361
2023-01-25 16:03:24 |   127 |     3.000e-04 |    67.9514 |         73.0116 |    14.6559 |          4.2707 |            7361
2023-01-25 16:03:44 |   128 |     3.000e-04 |    65.5731 |         76.7433 |    23.1765 |          4.2579 |            7361
2023-01-25 16:04:07 |   129 |     3.000e-04 |    67.0445 |         72.7187 |    13.4732 |          4.2615 |            7361
2023-01-25 16:04:30 |   130 |     3.000e-04 |    70.4355 |         73.6187 |    17.3285 |          4.2429 |            7361
2023-01-25 16:04:52 |   131 |     3.000e-04 |    72.6873 |         71.9563 |    16.0723 |          4.1983 |            7361
2023-01-25 16:05:16 |   132 |     3.000e-04 |    58.9678 |         70.6450 |    15.5811 |          4.1644 |            7361
2023-01-25 16:05:38 |   133 |     3.000e-04 |    57.8365 |         75.4553 |    26.2856 |          4.1616 |            7361
2023-01-25 16:06:01 |   134 |     3.000e-04 |    57.9070 |         81.5212 |    36.1276 |          4.1667 |            7361
2023-01-25 16:06:23 |   135 |     3.000e-04 |    57.9539 |         79.3603 |    33.3679 |          4.1452 |            7361
2023-01-25 16:06:46 |   136 |     3.000e-04 |    57.8060 |         82.0745 |    37.7212 |          4.1447 |            7361
2023-01-25 16:07:08 |   137 |     3.000e-04 |    57.7753 |         78.9057 |    33.3687 |          4.1246 |            7361
2023-01-25 16:07:31 |   138 |     3.000e-04 |    57.5219 |         81.8453 |    38.1722 |          4.1217 |            7361
2023-01-25 16:07:53 |   139 |     3.000e-04 |    57.6772 |         69.5068 |    17.9190 |          4.0735 |            7361
2023-01-25 16:08:16 |   140 |     3.000e-04 |    62.3808 |         77.2532 |    25.9284 |          4.2920 |            7361
2023-01-25 16:08:39 |   141 |     3.000e-04 |    57.9747 |         70.7699 |    16.3333 |          4.0711 |            7361
2023-01-25 16:09:02 |   142 |     3.000e-04 |    63.9648 |         70.6014 |    19.2466 |          4.0893 |            7361
2023-01-25 16:09:25 |   143 |     3.000e-04 |    67.7684 |         68.3609 |    13.6040 |          4.0942 |            7361
2023-01-25 16:09:48 |   144 |     3.000e-04 |    69.0574 |         65.5782 |    11.9360 |          4.0437 |            7361
2023-01-25 16:10:10 |   145 |     3.000e-04 |    52.6071 |         66.3378 |    13.3010 |          4.0281 |            7361
2023-01-25 16:10:33 |   146 |     3.000e-04 |    51.0054 |         66.0911 |    15.6362 |          4.0105 |            7361
2023-01-25 16:10:57 |   147 |     3.000e-04 |    49.6821 |         67.9745 |    22.9851 |          3.9684 |            7361
2023-01-25 16:11:19 |   148 |     3.000e-04 |    49.7238 |         77.7718 |    37.6857 |          3.9709 |            7361
2023-01-25 16:11:42 |   149 |     3.000e-04 |    51.2572 |         67.2801 |    23.3810 |          3.9346 |            7361
2023-01-25 16:12:04 |   150 |     3.000e-04 |    52.7703 |         72.9141 |    29.6577 |          3.9381 |            7361
2023-01-25 16:12:27 |   151 |     3.000e-04 |    54.7502 |         63.2114 |    11.7710 |          3.8955 |            7361
2023-01-25 16:12:49 |   152 |     3.000e-04 |    59.4974 |         72.9588 |    20.2935 |          4.1382 |            7361
2023-01-25 16:13:11 |   153 |     3.000e-04 |    51.8754 |         69.1007 |    20.2586 |          3.9218 |            7361
2023-01-25 16:13:33 |   154 |     3.000e-04 |    51.2976 |         70.2503 |    17.8023 |          3.9942 |            7361
2023-01-25 16:13:55 |   155 |     3.000e-04 |    50.6229 |         68.6776 |    21.6156 |          3.8955 |            7361
2023-01-25 16:14:17 |   156 |     3.000e-04 |    55.5463 |         75.5048 |    26.4668 |          4.0374 |            7361
2023-01-25 16:14:39 |   157 |     3.000e-04 |    52.0654 |         66.7421 |    22.1470 |          3.8821 |            7361
2023-01-25 16:15:01 |   158 |     3.000e-04 |    59.3742 |         62.4597 |    13.5710 |          3.8729 |            7361
2023-01-25 16:15:24 |   159 |     3.000e-04 |    65.7671 |         65.4960 |    14.6029 |          3.9577 |            7361
2023-01-25 16:15:42 |   160 |     3.000e-04 |   124.0682 |         88.1896 |    21.2425 |          4.9199 |            7361
2023-01-25 16:16:04 |   161 |     3.000e-04 |    93.2310 |         71.1373 |    15.2806 |          4.2503 |            7361
