         6313134 function calls (6265562 primitive calls) in 8.094 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       66    0.000    0.000    0.003    0.000 cell.py:33(<listcomp>)
      201    0.000    0.000    0.001    0.000 __init__.py:392(pbc2pbc)
      565    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
        4    0.000    0.000    0.009    0.002 coordinates.py:234(get_unique_coordinates)
      726    0.000    0.000    0.000    0.000 stride_tricks.py:20(__init__)
     2455    0.000    0.000    0.000    0.000 multiarray.py:664(result_type)
     2472    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      136    0.000    0.000    0.003    0.000 arraysetops.py:307(reshape_uniq)
        3    0.000    0.000    0.206    0.069 adsorption.py:16(__init__)
     1096    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
      131    0.000    0.000    0.002    0.000 genericpath.py:39(isdir)
      205    0.000    0.000    0.001    0.000 posixpath.py:117(splitext)
       64    0.000    0.000    0.008    0.000 atoms.py:1067(append)
      200    0.000    0.000    0.002    0.000 fromnumeric.py:2675(amax)
       66    0.000    0.000    0.000    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
       55    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       62    0.000    0.000    0.001    0.000 config.py:424(register_option)
       66    0.000    0.000    0.087    0.001 __init__.py:477(iofunc)
        1    0.000    0.000    0.026    0.026 surface.py:243(get_slab_basis)
      110    0.000    0.000    0.002    0.000 typing.py:738(__init__)
      309    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
      247    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       64    0.000    0.000    0.011    0.000 arrayprint.py:561(array2string)
      978    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      988    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      271    0.000    0.000    0.001    0.000 atoms.py:565(set_tags)
      726    0.000    0.000    0.000    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
     1209    0.000    0.000    0.000    0.000 atoms.py:433(pbc)
      198    0.000    0.000    0.006    0.000 formats.py:151(_writefunc)
       65    0.000    0.000    0.000    0.000 neighborlist.py:963(<listcomp>)
      854    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      266    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
       65    0.000    0.000    0.000    0.000 eam.py:630(<listcomp>)
      198    0.000    0.000    0.004    0.000 cell.py:200(rank)
        1    0.000    0.000    0.755    0.755 surface.py:354(get_slab)
       65    0.000    0.000    3.890    0.060 neighborlist.py:1043(update)
       64    0.000    0.000    0.006    0.000 arrayprint.py:907(__init__)
      357    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      841    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      624    0.000    0.000    0.000    0.000 numeric.py:1391(<listcomp>)
      565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      309    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(nonzero)
      476    0.000    0.000    0.000    0.000 atoms.py:309(set_constraint)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      156    0.000    0.000    0.002    0.000 fromnumeric.py:2970(prod)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      399    0.000    0.000    0.000    0.000 _collections_abc.py:779(items)
      909    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      909    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      299    0.000    0.000    0.001    0.000 re.py:188(match)
       34    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       69    0.000    0.000    0.001    0.000 formula.py:388(parse2)
       66    0.000    0.000    0.025    0.000 symbols.py:66(formula)
      300    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      411    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      731    0.000    0.000    0.000    0.000 typing.py:664(_is_dunder)
      401    0.000    0.000    0.001    0.000 multigraph.py:742(edges)
        7    0.000    0.000    0.039    0.006 base.py:1(<module>)
      310    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(moveaxis)
      160    0.000    0.000    0.014    0.000 _decorators.py:483(__call__)
      247    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      728    0.000    0.000    0.000    0.000 atoms.py:1938(_get_atomic_numbers)
      132    0.000    0.000    0.001    0.000 formats.py:468(get_compression)
       64    0.000    0.000    0.001    0.000 graph.py:1462(copy)
       69    0.000    0.000    0.001    0.000 formula.py:423(strip_number)
      135    0.000    0.000    0.012    0.000 formula.py:13(__init__)
      708    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       64    0.000    0.000    0.010    0.000 arrayprint.py:506(wrapper)
      672    0.000    0.000    0.000    0.000 graph.py:398(__iter__)
      247    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      247    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      200    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(amax)
       66    0.000    0.000    0.005    0.000 cell.py:35(cellpar)
    380/2    0.000    0.000    0.394    0.197 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      578    0.000    0.000    0.000    0.000 linalg.py:129(_realType)
        1    0.000    0.000    0.002    0.002 series.py:195(Series)
      309    0.000    0.000    0.001    0.000 fromnumeric.py:1866(nonzero)
       64    0.000    0.000    0.000    0.000 arrayprint.py:64(_make_options_dict)
        6    0.000    0.000    0.000    0.000 index_tricks.py:148(__getitem__)
        1    0.000    0.000    0.005    0.005 generic.py:191(NDFrame)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      270    0.000    0.000    0.000    0.000 atoms.py:600(set_masses)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      260    0.000    0.000    5.586    0.021 calculator.py:708(get_potential_energy)
        1    0.000    0.000    0.004    0.004 frame.py:456(DataFrame)
       12    0.000    0.000    0.001    0.000 numeric.py:1479(cross)
   134/55    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      144    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(diff)
       68    0.000    0.000    0.001    0.000 function_base.py:5337(append)
      103    0.000    0.000    0.001    0.000 <class 'networkx.utils.decorators.argmap'> compilation 4:1(argmap_empty_graph_1)
       66    0.000    0.000    0.001    0.000 numeric.py:1859(isscalar)
      271    0.000    0.000    0.001    0.000 atoms.py:442(set_pbc)
      288    0.000    0.000    0.000    0.000 linalg.py:106(get_linalg_error_extobj)
      247    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      118    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
     1175    0.000    0.000    0.000    0.000 numeric.py:2176(_allclose_dispatcher)
      196    0.000    0.000    0.000    0.000 arrayprint.py:984(<genexpr>)
     1458    0.000    0.000    0.000    0.000 fromnumeric.py:3253(_around_dispatcher)
      103    0.000    0.000    0.000    0.000 classic.py:405(empty_graph)
      470    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      823    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        1    0.000    0.000    0.001    0.001 base.py:248(Index)
        3    0.000    0.000    0.153    0.051 generic.py:1(<module>)
       66    0.000    0.000    0.012    0.000 formula.py:223(from_list)
      271    0.000    0.000    0.000    0.000 atoms.py:292(calc)
      272    0.000    0.000    0.000    0.000 _internal.py:468(_view_is_safe)
       39    0.000    0.000    0.403    0.010 digraph.py:268(__init__)
      141    0.000    0.000    0.001    0.000 fromnumeric.py:852(sort)
      112    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
      192    0.000    0.000    0.001    0.000 arrayprint.py:753(_extendLine_pretty)
      192    0.000    0.000    0.000    0.000 arrayprint.py:739(_extendLine)
        1    0.000    0.000    0.002    0.002 accessor.py:134(StringMethods)
     1350    0.000    0.000    0.000    0.000 atoms.py:1996(default)
      269    0.000    0.000    0.006    0.000 re.py:203(sub)
      293    0.000    0.000    0.000    0.000 linalg.py:193(_assert_stacked_2d)
      218    0.000    0.000    0.009    0.000 <__array_function__ internals>:177(solve)
       64    0.000    0.000    0.000    0.000 arrayprint.py:403(_get_formatdict)
        3    0.000    0.000    0.000    0.000 adsorption.py:39(<listcomp>)
       66    0.000    0.000    0.001    0.000 symbols.py:72(__getitem__)
    78/33    0.000    0.000    0.003    0.000 sre_parse.py:435(_parse_sub)
      136    0.000    0.000    0.000    0.000 arraysetops.py:286(<listcomp>)
       69    0.000    0.000    0.002    0.000 formula.py:377(parse)
      270    0.000    0.000    0.000    0.000 atoms.py:390(set_celldisp)
        6    0.000    0.000    0.010    0.002 common.py:1(<module>)
      202    0.000    0.000    0.000    0.000 copy.py:200(_deepcopy_list)
      119    0.000    0.000    0.000    0.000 extension.py:47(inherit_from_data)
      124    0.000    0.000    0.000    0.000 expr.py:192(<genexpr>)
      270    0.000    0.000    0.000    0.000 atoms.py:579(set_momenta)
      458    0.000    0.000    0.000    0.000 symbols.py:89(__len__)
       64    0.000    0.000    0.003    0.000 typing.py:434(Union)
      755    0.000    0.000    0.000    0.000 gratoms.py:63(graph)
      113    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
      539    0.000    0.000    0.000    0.000 atoms.py:324(_get_constraints)
       65    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.018    0.006 datetimes.py:1(<module>)
       39    0.000    0.000    0.000    0.000 graph.py:626(remove_nodes_from)
  167/152    0.000    0.000    0.005    0.000 typing.py:271(inner)
    49/28    0.000    0.000    0.166    0.006 {built-in method builtins.__import__}
      400    0.000    0.000    0.000    0.000 reportviews.py:184(__iter__)
       39    0.000    0.000    0.000    0.000 function.py:1119(selfloop_edges)
      141    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(sort)
       28    0.000    0.000    0.001    0.000 typing.py:627(__init__)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      172    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(transpose)
      131    0.000    0.000    0.001    0.000 fromnumeric.py:2800(amin)
       64    0.000    0.000    0.011    0.000 arrayprint.py:1575(_array_str_implementation)
      225    0.000    0.000    0.000    0.000 linalg.py:199(_assert_stacked_square)
       66    0.000    0.000    0.019    0.000 formats.py:504(open_with_compression)
        2    0.000    0.000    0.212    0.106 adsorption.py:714(get_adsorption_sites)
       56    0.000    0.000    0.000    0.000 _decorators.py:442(__call__)
      741    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       64    0.000    0.000    0.006    0.000 arrayprint.py:411(<lambda>)
      890    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       33    0.000    0.000    0.005    0.000 sre_compile.py:759(compile)
       64    0.000    0.000    0.001    0.000 mcmc.py:62(get_random_idx)
        4    0.000    0.000    0.000    0.000 enum.py:179(__new__)
      103    0.000    0.000    0.000    0.000 decorators.py:240(_nodes_or_number)
      272    0.000    0.000    0.000    0.000 atoms.py:628(set_initial_magnetic_moments)
      156    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(prod)
        3    0.000    0.000    0.000    0.000 arraysetops.py:519(in1d)
       66    0.000    0.000    0.000    0.000 symbols.py:132(<listcomp>)
      196    0.000    0.000    0.001    0.000 arrayprint.py:989(<genexpr>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      131    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(amin)
      300    0.000    0.000    0.001    0.000 typing.py:128(_type_convert)
       90    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_scientific}
       33    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
       64    0.000    0.000    0.000    0.000 typing.py:232(_remove_dups_flatten)
       65    0.000    0.000    0.001    0.000 fromnumeric.py:2305(any)
       17    0.000    0.000    0.000    0.000 fnmatch.py:80(translate)
       66    0.000    0.000    0.088    0.001 formats.py:187(_write_wrapper)
      478    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.028    0.028 expr.py:1(<module>)
       68    0.000    0.000    0.000    0.000 symbols.py:16(symbols2numbers)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       65    0.000    0.000    0.001    0.000 neighborlist.py:1037(__init__)
        1    0.000    0.000    0.000    0.000 datetimelike.py:144(DatetimeLikeArrayMixin)
       34    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      793    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      198    0.000    0.000    0.000    0.000 formats.py:144(_formatname)
      270    0.000    0.000    0.000    0.000 atoms.py:660(set_initial_charges)
      247    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
      399    0.000    0.000    0.000    0.000 _collections_abc.py:802(__init__)
       44    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       65    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      738    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
      231    0.000    0.000    0.000    0.000 _decorators.py:348(doc)
      104    0.000    0.000    0.001    0.000 gratoms.py:67(nodes)
    59/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       64    0.000    0.000    0.000    0.000 random.py:290(randrange)
        3    0.000    0.000    0.004    0.001 ops.py:1(<module>)
       72    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
       66    0.000    0.000    0.000    0.000 fromnumeric.py:1755(ravel)
      130    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copy)
        2    0.000    0.000    0.000    0.000 symmetry.py:193(get_unmodified_spin_symbols)
       39    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       65    0.000    0.000    0.000    0.000 fromnumeric.py:1223(argmin)
      138    0.000    0.000    0.000    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
        4    0.000    0.000    0.065    0.016 api.py:1(<module>)
      532    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       18    0.000    0.000    0.000    0.000 shape_base.py:1171(tile)
        1    0.000    0.000    0.070    0.070 frame.py:1(<module>)
      624    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       41    0.000    0.000    0.000    0.000 _decorators.py:286(decorate)
       17    0.000    0.000    0.000    0.000 _methods.py:162(_mean)
       66    0.000    0.000    0.010    0.000 {built-in method builtins.format}
      327    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       78    0.000    0.000    0.000    0.000 reportviews.py:355(__init__)
       27    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
      138    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(swapaxes)
        2    0.000    0.000    0.021    0.011 interval.py:1(<module>)
      110    0.000    0.000    0.001    0.000 typing.py:676(__init__)
      136    0.000    0.000    0.001    0.000 linalg.py:215(transpose)
        3    0.000    0.000    0.000    0.000 cell.py:260(cartesian_positions)
      128    0.000    0.000    0.000    0.000 graph.py:338(adj)
  145/104    0.000    0.000    0.000    0.000 typing.py:932(__hash__)
      213    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      172    0.000    0.000    0.001    0.000 fromnumeric.py:601(transpose)
        2    0.000    0.000    0.018    0.009 categorical.py:1(<module>)
       68    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(svd)
        5    0.000    0.000    0.000    0.000 gratoms.py:345(<listcomp>)
        4    0.000    0.000    0.248    0.062 api.py:3(<module>)
       64    0.000    0.000    0.002    0.000 genericpath.py:16(exists)
      300    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       39    0.000    0.000    0.008    0.000 convert.py:468(from_edgelist)
       62    0.000    0.000    0.000    0.000 accessor.py:77(_create_delegator_property)
        1    0.000    0.000    0.001    0.001 groupby.py:775(GroupBy)
        2    0.000    0.000    0.006    0.003 datetimelike.py:1(<module>)
       33    0.000    0.000    0.003    0.000 sre_parse.py:937(parse)
       17    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
       66    0.000    0.000    0.000    0.000 cif.py:794(<listcomp>)
       65    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(any)
      138    0.000    0.000    0.000    0.000 formula.py:229(__len__)
      310    0.000    0.000    0.000    0.000 numeric.py:1466(<listcomp>)
      530    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        3    0.000    0.000    0.001    0.000 missing.py:1(<module>)
       66    0.000    0.000    0.005    0.000 formats.py:291(get_ioformat)
      354    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 algorithms.py:1(<module>)
      231    0.000    0.000    0.000    0.000 coreviews.py:50(__iter__)
       68    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(append)
       51    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
       84    0.000    0.000    0.000    0.000 lazy.py:149(lazy)
      4/3    0.000    0.000    0.000    0.000 typing.py:758(__getitem__)
       64    0.000    0.000    0.003    0.000 arrayprint.py:780(_formatArray)
        3    0.000    0.000    0.398    0.133 __init__.py:3(<module>)
        5    0.000    0.000    0.000    0.000 linalg.py:2092(det)
    54/31    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.001    0.001 surface.py:120(align_crystal)
       55    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        2    0.000    0.000    0.002    0.001 pytables.py:1(<module>)
      320    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      302    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 symmetry.py:161(get_modified_spin_symbols)
      132    0.000    0.000    0.005    0.000 formats.py:118(can_write)
      113    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        1    0.000    0.000    0.007    0.007 groupby.py:1(<module>)
        1    0.000    0.000    0.011    0.011 series.py:1(<module>)
    44/21    0.000    0.000    0.043    0.002 <frozen importlib._bootstrap_external>:1179(exec_module)
      632    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       64    0.000    0.000    0.000    0.000 typing.py:218(_deduplicate)
        1    0.000    0.000    0.000    0.000 atoms.py:1219(center)
        1    0.000    0.000    0.001    0.001 config_init.py:1(<module>)
      284    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       19    0.000    0.000    0.000    0.000 datetimes.py:113(_field_accessor)
        3    0.000    0.000    0.022    0.007 concat.py:1(<module>)
      153    0.000    0.000    0.000    0.000 doc.py:9(create_section_header)
       65    0.000    0.000    0.000    0.000 fromnumeric.py:1012(argsort)
      307    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       65    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(argmin)
       21    0.000    0.000    0.000    0.000 typing.py:1006(__init_subclass__)
      103    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      321    0.000    0.000    0.000    0.000 graph.py:988(<genexpr>)
      607    0.000    0.000    0.000    0.000 multigraph.py:915(is_multigraph)
      201    0.000    0.000    0.000    0.000 formula.py:449(<dictcomp>)
       66    0.000    0.000    0.004    0.000 symbols.py:92(__str__)
      138    0.000    0.000    0.000    0.000 fromnumeric.py:550(swapaxes)
       68    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(pinv)
       65    0.000    0.000    0.000    0.000 atoms.py:446(get_pbc)
        2    0.000    0.000    0.001    0.001 construction.py:1(<module>)
       17    0.000    0.000    0.000    0.000 dtypes.py:1139(construct_from_string)
       66    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 atoms.py:1367(rotate)
       66    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ravel)
        6    0.000    0.000    0.000    0.000 __init__.py:282(__init__)
        1    0.000    0.000    0.002    0.002 take.py:1(<module>)
      253    0.000    0.000    0.001    0.000 typing.py:466(<genexpr>)
        2    0.000    0.000    0.001    0.000 period.py:1(<module>)
        1    0.000    0.000    0.001    0.001 multi.py:207(MultiIndex)
  473/301    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        4    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
       13    0.000    0.000    0.000    0.000 extension.py:132(wrapper)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
       52    0.000    0.000    0.000    0.000 common.py:36(_unpack_zerodim_and_defer)
       57    0.000    0.000    0.001    0.000 typing.py:524(__init__)
        1    0.000    0.000    0.004    0.004 _typing.py:1(<module>)
      292    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.002    0.002 blocks.py:1(<module>)
      120    0.000    0.000    0.000    0.000 expr.py:181(<genexpr>)
        3    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
      283    0.000    0.000    0.000    0.000 typing.py:565(__eq__)
      168    0.000    0.000    0.000    0.000 graph.py:759(number_of_nodes)
       24    0.000    0.000    0.001    0.000 typing.py:831(__getitem__)
      309    0.000    0.000    0.000    0.000 fromnumeric.py:1862(_nonzero_dispatcher)
        1    0.000    0.000    0.002    0.002 cast.py:1(<module>)
       64    0.000    0.000    0.000    0.000 graph.py:1420(clear)
      277    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       65    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(argsort)
      160    0.000    0.000    0.000    0.000 _decorators.py:476(__init__)
        1    0.000    0.000    0.003    0.003 format.py:1(<module>)
      104    0.000    0.000    0.000    0.000 reportviews.py:181(__len__)
        1    0.000    0.000    0.000    0.000 categorical.py:248(Categorical)
      113    0.000    0.000    0.000    0.000 enum.py:358(__call__)
       10    0.000    0.000    0.000    0.000 accessor.py:57(_add_delegate_accessors)
       33    0.000    0.000    0.000    0.000 enum.py:977(__and__)
       14    0.000    0.000    0.002    0.000 __init__.py:410(flex_arith_method_FRAME)
       60    0.000    0.000    0.000    0.000 arrayprint.py:960(<genexpr>)
       65    0.000    0.000    0.000    0.000 calculator.py:401(__getattr__)
       78    0.000    0.000    0.000    0.000 digraph.py:983(in_degree)
      435    0.000    0.000    0.000    0.000 typing.py:742(<genexpr>)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
      225    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        4    0.000    0.000    0.000    0.000 numeric.py:1140(roll)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        6    0.000    0.000    0.000    0.000 numeric.py:1680(indices)
        1    0.000    0.000    0.000    0.000 merge.py:1(<module>)
        1    0.000    0.000    0.005    0.005 readers.py:1(<module>)
       48    0.000    0.000    0.000    0.000 random.py:343(choice)
      181    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.001    0.001 nanops.py:1(<module>)
        1    0.000    0.000    0.106    0.106 mcmc.py:363(count_adsorption_sites)
  175/119    0.000    0.000    0.000    0.000 typing.py:755(__hash__)
      132    0.000    0.000    0.000    0.000 cif.py:742(<genexpr>)
        1    0.000    0.000    0.004    0.004 eam.py:485(set_fs_splines)
        1    0.000    0.000    0.000    0.000 masked.py:105(BaseMaskedArray)
      128    0.000    0.000    0.000    0.000 graph.py:1543(<genexpr>)
      244    0.000    0.000    0.000    0.000 typing.py:749(__eq__)
       66    0.000    0.000    0.003    0.000 formats.py:179(write)
       45    0.000    0.000    0.000    0.000 inspect.py:2498(__init__)
        1    0.000    0.000    0.003    0.003 array.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dtypes.py:1(<module>)
       66    0.000    0.000    0.000    0.000 parallel.py:88(__getattr__)
      144    0.000    0.000    0.000    0.000 re.py:270(escape)
      196    0.000    0.000    0.000    0.000 arrayprint.py:993(<genexpr>)
       21    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
       66    0.000    0.000    0.000    0.000 cif.py:642(__init__)
        1    0.000    0.000    0.013    0.013 ewm.py:1(<module>)
       25    0.000    0.000    0.000    0.000 fromnumeric.py:38(_wrapit)
        1    0.000    0.000    0.001    0.001 interval.py:162(IntervalArray)
        1    0.000    0.000    0.013    0.013 _base.py:1(<module>)
       66    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
      130    0.000    0.000    0.000    0.000 function_base.py:846(copy)
      138    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       62    0.000    0.000    0.001    0.000 config.py:738(inner)
        2    0.000    0.000    0.000    0.000 generic.py:10513(_add_numeric_operations)
        1    0.000    0.000    0.000    0.000 datetimes.py:151(DatetimeArray)
        1    0.000    0.000    0.000    0.000 managers.py:874(BlockManager)
      103    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       66    0.000    0.000    0.000    0.000 cif.py:628(format_generic_spacegroup_info)
      192    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
       66    0.000    0.000    0.010    0.000 formula.py:124(format)
        1    0.000    0.000    0.001    0.001 rolling.py:1487(Rolling)
      221    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        2    0.000    0.000    0.000    0.000 function_base.py:5143(insert)
       39    0.000    0.000    0.000    0.000 digraph.py:1077(clear)
       50    0.000    0.000    0.000    0.000 accessor.py:105(_forbid_nonstring_types)
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
        2    0.000    0.000    0.005    0.002 symmetry.py:54(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:1(<module>)
      310    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       64    0.000    0.000    0.000    0.000 graph.py:1544(<genexpr>)
        3    0.000    0.000    0.007    0.002 accessor.py:1(<module>)
       21    0.000    0.000    0.000    0.000 numeric.py:571(argwhere)
       33    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
      225    0.000    0.000    0.000    0.000 typing.py:927(__eq__)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x10d42edc0}
       47    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
        1    0.000    0.000    0.001    0.001 stata.py:1(<module>)
        3    0.000    0.000    0.000    0.000 adsorption.py:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
        2    0.000    0.000    0.030    0.015 symmetry.py:6(get_standardized_cell)
       64    0.000    0.000    0.000    0.000 arrayprint.py:72(<dictcomp>)
      200    0.000    0.000    0.000    0.000 fromnumeric.py:2670(_amax_dispatcher)
        1    0.000    0.000    0.008    0.008 array_ops.py:1(<module>)
        2    0.000    0.000    0.004    0.002 methods.py:71(_create_methods)
       35    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      128    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
