         6313134 function calls (6265562 primitive calls) in 8.094 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5038    0.008    0.000    0.020    0.000 _ufunc_config.py:32(seterr)
     7574    0.008    0.000    0.008    0.000 {method 'index' of 'list' objects}
     8580    0.008    0.000    0.008    0.000 {built-in method builtins.sorted}
    10843    0.008    0.000    0.104    0.000 <__array_function__ internals>:177(dot)
     4096    0.008    0.000    0.011    0.000 blas.py:383(getter)
       34    0.008    0.000    0.008    0.000 {built-in method posix.listdir}
        1    0.008    0.008    0.018    0.018 eam.py:294(_read_potential)
    38250    0.007    0.000    0.007    0.000 {built-in method builtins.issubclass}
     7652    0.007    0.000    0.049    0.000 fromnumeric.py:2404(all)
     6442    0.007    0.000    0.010    0.000 cell.py:23(__init__)
    17446    0.007    0.000    0.010    0.000 graph.py:661(nodes)
     5038    0.007    0.000    0.008    0.000 _ufunc_config.py:131(geterr)
     4096    0.007    0.000    0.079    0.000 numerictypes.py:597(find_common_type)
     6270    0.007    0.000    0.016    0.000 formats.py:233(match_name)
       64    0.007    0.000    0.411    0.006 gratoms.py:237(__iadd__)
27116/5452    0.007    0.000    0.008    0.000 formula.py:331(__iter__)
19434/19430    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
 5851/135    0.007    0.000    0.009    0.000 formula.py:444(count_tree)
       84    0.007    0.000    0.188    0.002 binary.py:17(union)
    23867    0.007    0.000    0.009    0.000 reportviews.py:187(__getitem__)
    12309    0.007    0.000    0.016    0.000 <__array_function__ internals>:177(ndim)
    25189    0.006    0.000    0.006    0.000 {method 'conj' of 'numpy.ndarray' objects}
       66    0.006    0.000    0.006    0.000 {method 'close' of '_io.BufferedWriter' objects}
       64    0.006    0.000    1.206    0.019 adsorption.py:565(_single_adsorption)
    32492    0.006    0.000    0.006    0.000 symbols.py:78(__iter__)
     5485    0.006    0.000    0.023    0.000 cell.py:195(copy)
      218    0.006    0.000    0.009    0.000 linalg.py:313(solve)
      251    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
     7652    0.006    0.000    0.063    0.000 <__array_function__ internals>:177(all)
      738    0.006    0.000    0.009    0.000 arraysetops.py:320(_unique1d)
  411/405    0.006    0.000    0.040    0.000 {built-in method builtins.__build_class__}
       39    0.006    0.000    0.007    0.000 digraph.py:638(add_edges_from)
    30057    0.006    0.000    0.006    0.000 linalg.py:2345(_norm_dispatcher)
     9056    0.006    0.000    0.046    0.000 {method 'all' of 'numpy.ndarray' objects}
     4212    0.005    0.000    0.027    0.000 numeric.py:149(ones)
    47728    0.005    0.000    0.005    0.000 reportviews.py:859(<lambda>)
      726    0.005    0.000    0.009    0.000 stride_tricks.py:38(as_strided)
    12770    0.005    0.000    0.005    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     5420    0.005    0.000    0.031    0.000 atoms.py:399(get_cell)
       65    0.005    0.000    3.909    0.060 eam.py:625(update)
    12288    0.005    0.000    0.014    0.000 lapack.py:1025(<genexpr>)
    14448    0.005    0.000    0.005    0.000 cell.py:222(__array__)
       39    0.005    0.000    0.429    0.011 relabel.py:126(_relabel_inplace)
      270    0.005    0.000    0.019    0.000 atoms.py:131(__init__)
      794    0.004    0.000    0.004    0.000 {method 'round' of 'numpy.ndarray' objects}
    47827    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
     7029    0.004    0.000    0.011    0.000 relabel.py:194(<genexpr>)
     4213    0.004    0.000    0.016    0.000 <__array_function__ internals>:177(copyto)
       64    0.004    0.000    5.728    0.090 mcmc.py:103(spin_flip)
       65    0.004    0.000    0.004    0.000 calculator.py:633(reset)
       66    0.004    0.000    0.023    0.000 cif.py:656(tostring)
    21431    0.004    0.000    0.004    0.000 fromnumeric.py:2155(_sum_dispatcher)
      726    0.004    0.000    0.018    0.000 special_matrices.py:202(circulant)
    10699    0.004    0.000    0.045    0.000 _methods.py:60(_all)
     4917    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
     4096    0.004    0.000    0.004    0.000 numerictypes.py:649(<listcomp>)
     5289    0.004    0.000    0.006    0.000 neighborlist.py:1051(get_neighbors)
    10618    0.004    0.000    0.008    0.000 _collections_abc.py:849(__iter__)
     5380    0.004    0.000    0.004    0.000 cif.py:668(<listcomp>)
        2    0.004    0.002    0.004    0.002 {built-in method spglib._spglib.dataset}
     4096    0.004    0.000    0.004    0.000 getlimits.py:457(__new__)
       71    0.004    0.000    0.010    0.000 geometry.py:34(wrap_positions)
        3    0.003    0.001    0.004    0.001 fitpack2.py:658(__init__)
       65    0.003    0.000    0.009    0.000 minkowski_reduction.py:119(is_minkowski_reduced)
     1296    0.003    0.000    0.080    0.000 calculator.py:197(equal)
